단어_1기_빈도,빈도_1기,단어_1기_가중로그승산비,가중로그승산비_1기,단어_2기_빈도,빈도_2기,단어_2기_가중로그승산비,가중로그승산비_2기,단어_3기_빈도,빈도_3기,단어_3기_가중로그승산비,가중로그승산비_3기
소셜커머스,1115,소셜커머스,21.2440 ,확진자,2931,확진자,32.2765 ,기업,2444,의장,12.9811 
서비스,1006,옥시,12.6265 ,감염,2072,코로나바이러스,14.0953 ,투자,2188,청문회,12.7504 
배송,959,분유,12.0951 ,기업,1945,격리,13.1363 ,배달,2183,의결권,12.1043 
상품,955,화보,11.3078 ,배송,1799,부천,12.6288 ,서비스,2080,백신,10.8921 
업체,923,티켓몬스터,10.5788 ,온라인,1579,감염,11.8412 ,배송,1831,광주소방서,10.3624 
판매,805,상품,9.5088 ,물류센터,1566,등교,11.5979 ,온라인,1717,김동식,10.2669 
고객,703,그루폰코리아,9.4305 ,관련,1560,총집결,10.4484 ,시장,1711,화재,10.0139 
시장,682,업체,9.1898 ,서비스,1546,방역,9.9510 ,제공,1397,배달어플리케이션,9.9041 
온라인,679,기저귀,8.8317 ,방역,1510,부평구,9.4076 ,국내,1350,순직,9.4680 
티켓몬스터,664,고객,8.6209 ,발생,1363,진료소,9.1305 ,플랫폼,1322,뉴욕증권거래소,9.3426 
기업,634,판매,8.4860 ,부천,1234,검사,9.0960 ,네이버,1255,상장,9.2767 
제품,587,위메프,8.1304 ,투자,1195,안부,8.9043 ,확진자,1180,배달,8.9941 
쇼핑,577,가격,7.3925 ,업체,1033,수칙,8.8448 ,상품,1172,확진자,8.9377 
국내,544,광고,7.3249 ,구독,1032,교회,8.7011 ,규모,1131,이사회,8.8578 
대표,500,쿠폰,7.3004 ,등교,1028,판정,8.6439 ,물류센터,1104,동일인,8.5805 
투자,482,제품,6.9303 ,국내,1026,목회자,8.5246 ,택배,1092,안전진단,8.4216 
가격,474,서비스,6.5409 ,시장,1009,아세안,8.5096 ,업체,1086,접종,8.4100 
매출,437,인모비,6.4427 ,수도권,1007,확진,8.3033 ,발생,1062,코로나바이러스,8.2725 
업계,420,소셜네트워크서비스,6.4173 ,판매,1000,감염경로,8.0804 ,상장,1043,국민의힘,7.9399 
구매,397,구매,6.2270 ,상품,966,리치웨이,7.8570 ,관련,1019,진화작업,7.9399 